row_number,transction_year,transction_month,listing_province_name_en,listing_province_name_th,listing_district_name_th,listing_district_name_en,project_propertytype_name_th,project_propertytype_name_en,total_listing,median_asking_price_sqm
78,2019,7,BANGKOK,กรุงเทพมหานคร,ประเวศ,PRAWET,คอนโด,Condo,13,64971
342,2019,7,BANGKOK,กรุงเทพมหานคร,วัฒนา,VADHANA,คอนโด,Condo,128,173312
277,2020,12,BANGKOK,กรุงเทพมหานคร,จตุจักร,CHATUCHAK,คอนโด,Condo,23,109821
356,2021,1,BANGKOK,กรุงเทพมหานคร,พระโขนง,PHRA KHANONG,คอนโด,Condo,11,106412
598,2021,4,BANGKOK,กรุงเทพมหานคร,ราชเทวี,RATCHATHEWI,คอนโด,Condo,33,177486
559,2019,10,BANGKOK,กรุงเทพมหานคร,ห้วยขวาง,HUAI KHWANG,คอนโด,Condo,11,102931
589,2020,6,BANGKOK,กรุงเทพมหานคร,ห้วยขวาง,HUAI KHWANG,คอนโด,Condo,12,111189
29,2020,8,BANGKOK,กรุงเทพมหานคร,ราชเทวี,RATCHATHEWI,คอนโด,Condo,15,145675
581,2019,2,BANGKOK,กรุงเทพมหานคร,บางรัก,BANG RAK,คอนโด,Condo,45,208162
44,2019,10,BANGKOK,กรุงเทพมหานคร,หลักสี่,LAK SI,คอนโด,Condo,22,75862
452,2019,6,BANGKOK,กรุงเทพมหานคร,ธนบุรี,THON BURI,คอนโด,Condo,37,107657
333,2019,8,NONTHABURI,นนทบุรี,ปากเกร็ด,PAK KRET,คอนโด,Condo,15,88378
336,2019,11,NONTHABURI,นนทบุรี,เมืองนนทบุรี,MUEANG NONTHABURI,คอนโด,Condo,61,61473
397,2020,12,BANGKOK,กรุงเทพมหานคร,ห้วยขวาง,HUAI KHWANG,คอนโด,Condo,11,67734
527,2020,12,BANGKOK,กรุงเทพมหานคร,พระโขนง,PHRA KHANONG,คอนโด,Condo,12,90297
261,2020,12,BANGKOK,กรุงเทพมหานคร,ธนบุรี,THON BURI,คอนโด,Condo,12,84827
153,2020,12,BANGKOK,กรุงเทพมหานคร,ยานนาวา,YAN NAWA,คอนโด,Condo,16,114222
177,2019,8,BANGKOK,กรุงเทพมหานคร,ธนบุรี,THON BURI,คอนโด,Condo,12,88807
93,2020,10,BANGKOK,กรุงเทพมหานคร,ราชเทวี,RATCHATHEWI,คอนโด,Condo,19,143642
145,2019,10,BANGKOK,กรุงเทพมหานคร,สวนหลวง,SUAN LUANG,คอนโด,Condo,35,80497
113,2019,11,SAMUT PRAKAN,สมุทรปราการ,บางพลี,BANG PHLI,คอนโด,Condo,15,65417
444,2021,7,BANGKOK,กรุงเทพมหานคร,ราชเทวี,RATCHATHEWI,คอนโด,Condo,17,175387
